component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L0H6,0,6,0.004023100544766733,0.0007262222650574746,0.0027043492328830297
L20H13,20,13,0.003467923257409078,0.0004698234360391851,0.0022686833288611207
L3H12,3,12,0.003409147989459127,0.002115903831109711,0.0028918503261193607
L15H7,15,7,0.003308154460860524,0.0013417303562164307,0.0025215848190028867
L26H4,26,4,0.003082593766654429,0.0005643360498475136,0.0020752906799316627
L7H0,7,0,0.0030222862232022196,-0.002323101933409566,0.0008841309605575053
L8H15,8,15,0.002847375666222951,0.001143976682569936,0.002166016072761745
L3H0,3,0,0.0027936733350520937,0.001336796254646444,0.0022109225028898337
L18H12,18,12,0.002702502942666829,-0.010290920007519522,-0.0024948662374077116
L1H13,1,13,0.002694191729150197,0.0022776533917683306,0.0025275763941974504
L4H9,4,9,0.0026847284014632766,0.0016767593418680615,0.0022815407776251907
L27H12,27,12,0.0026147140235436295,0.003874450922012329,0.003118608782931109
L10H9,10,9,0.002602615734425995,0.002464576465327606,0.0025474000267866393
L7H13,7,13,0.0025590687263302714,-0.0027749153172097474,0.0004254751089142637
L26H2,26,2,0.002522539801713908,-0.0021029579930189612,0.00067234068382076
L11H8,11,8,0.0025074416544379474,-0.00312650203704834,0.0002538641778434324
L20H0,20,0,0.0024025832734456687,0.000510324792164063,0.0016456798809330263
L8H8,8,8,0.0023666801975994467,0.00015669406914131656,0.0014826857462161946
L5H13,5,13,0.0023501697109966635,0.0008779139053530782,0.0017612673887392296
L26H3,26,3,0.002311103227661926,-0.00033519616941124486,0.0012525834688326576
L15H10,15,10,0.0019882837446725254,0.000649224694182271,0.0014526601244764237
L5H8,5,8,0.0019466099215716959,0.000754624605178833,0.0014698157950145507
L19H0,19,0,0.001908266689719218,7.437932782050627e-05,0.0011747117449597332
L24H2,24,2,0.001853126578214681,-0.006849757781842936,-0.0016280271658083657
L11H15,11,15,0.0018179082288974913,0.001218928069603109,0.0015783161651797383
L11H11,11,11,0.0017775537037267863,0.005156953887241578,0.003129313777132703
L10H6,10,6,0.0014954899869313865,0.0024790574864642645,0.0018889169867445377
L14H9,14,9,0.001467177780663076,-0.001294642686843872,0.00036244959366029663
L4H13,4,13,0.0014101942864860328,3.235514571031661e-05,0.0008590586301757463
L17H6,17,6,0.0014023424648657024,-0.0032207769591634516,-0.0004469053047459594
L12H10,12,10,0.0013353243106749568,0.0012091500003164057,0.0012848545865315362
L16H15,16,15,0.0012675436531625062,3.998017892603567e-05,0.000776518263467918
L23H12,23,12,0.0012603176803124283,0.0003812065938624265,0.0009086732457324276
L4H4,4,4,0.0012484454527134092,0.0006530226730718791,0.0010102763408567973
L5H10,5,10,0.001189606218803263,0.0003367059114502968,0.0008484460958620765
L12H8,12,8,0.0011169917699767051,-0.0010550291073031515,0.0002481834190647624
L8H10,8,10,0.0010999782783229772,0.0009721830123808894,0.0010488601719461422
L11H10,11,10,0.0010959106247599992,0.002209227986452067,0.0015412375694368262
